Week,Home Team,Away Team,Mean Temperature,Rain,Snow,Precipitation Inches,Snowfall Inches,Mean Wind Speed MPH,Dome
1,49ers,Packers,65,FALSE,FALSE,0,0,11,FALSE
1,Bears,Bengals,75,FALSE,FALSE,0,0,12,FALSE
1,Bills,Patriots,60,TRUE,FALSE,0,0,8,FALSE
1,Broncos,Ravens,78,TRUE,FALSE,0,0,6,FALSE
1,Browns,Dolphins,69,FALSE,FALSE,0,0,11,FALSE
1,Chargers,Texans,72,FALSE,FALSE,0,0,6,FALSE
1,Colts,Raiders,65,FALSE,FALSE,0,0,0,TRUE
1,Cowboys,Giants,65,FALSE,FALSE,0,0,0,TRUE
1,Jaguars,Chiefs,80,FALSE,FALSE,0,0,7,FALSE
1,Jets,Buccaneers,73,FALSE,FALSE,0,0,7,FALSE
1,Lions,Vikings,65,FALSE,FALSE,0,0,0,TRUE
1,Panthers,Seahawks,75,FALSE,FALSE,0,0,2,FALSE
1,Rams,Cardinals,65,FALSE,FALSE,0,0,0,TRUE
1,Redskins,Eagles,72,FALSE,FALSE,0,0,4,FALSE
1,Saints,Falcons,65,FALSE,FALSE,0,0,0,TRUE
1,Steelers,Titans,71,FALSE,FALSE,0,0,5,FALSE
2,Bears,Vikings,60,TRUE,FALSE,0.24,0,5,FALSE
2,Bengals,Steelers,63,TRUE,FALSE,0.03,0,5,FALSE
2,Bills,Panthers,57,TRUE,FALSE,0.13,0,8,FALSE
2,Buccaneers,Saints,81,TRUE,FALSE,0.1,0,7,FALSE
2,Cardinals,Lions,65,FALSE,FALSE,0,0,0,TRUE
2,Chiefs,Cowboys,74,TRUE,FALSE,0.09,0,9,FALSE
2,Colts,Dolphins,65,FALSE,FALSE,0,0,0,TRUE
2,Eagles,Chargers,60,FALSE,FALSE,0,0,3,FALSE
2,Falcons,Rams,65,FALSE,FALSE,0,0,0,TRUE
2,Giants,Broncos,60,FALSE,FALSE,0,0,2,FALSE
2,Packers,Redskins,55,TRUE,FALSE,0.38,0,6,FALSE
2,Patriots,Jets,78,TRUE,FALSE,0.47,0,6,FALSE
2,Raiders,Jaguars,67,FALSE,FALSE,0,0,11,FALSE
2,Ravens,Browns,62,FALSE,FALSE,0,0,3,FALSE
2,Seahawks,49ers,65,FALSE,FALSE,0,0,0,TRUE
2,Texans,Titans,65,FALSE,FALSE,0,0,0,TRUE
3,49ers,Colts,63,FALSE,FALSE,0,0,10,FALSE
3,Bengals,Packers,57,FALSE,FALSE,0,0,2,FALSE
3,Broncos,Raiders,54,TRUE,FALSE,0.85,0,12,FALSE
3,Cowboys,Rams,65,FALSE,FALSE,0,0,0,TRUE
