Week,Home Team,Away Team,Mean Temperature,Precipitation Inches,Dome
5,Dolphins,Ravens,82,0.00,False
2,Raiders,Jaguars,67,0.00,False
3,Cowboys,Rams,65.0,0,True
13,Jets,Dolphins,43,0.00,False
17,Steelers,Browns,42,0.66,False
2,Falcons,Rams,65.0,0,True
4,Titans,Jets,67,0.02,False
12,Redskins,49ers,30,0.00,False
2,Texans,Titans,65.0,0,True
8,Buccaneers,Panthers,66,0.00,False
14,Jets,Raiders,31,0.04,False
15,Dolphins,Patriots,80,0.00,False
15,Giants,Seahawks,34,0.47,False
6,Browns,Lions,,,False
16,Panthers,Saints,,,False
9,Seahawks,Buccaneers,65.0,0,True
15,Vikings,Eagles,65.0,0,True
12,Rams,Bears,65.0,0,True
3,Saints,Cardinals,65.0,0,True
9,Patriots,Steelers,,,False
5,Falcons,Jets,65.0,0,True
9,Dolphins,Bengals,81,0.01,False
7,Steelers,Ravens,47,0.00,False
4,Saints,Dolphins,65.0,0,True
10,Vikings,Redskins,65.0,0,True
12,Ravens,Jets,27,0.00,False
12,Cardinals,Colts,65.0,0,True
10,Chargers,Broncos,69,0.00,False
14,Packers,Falcons,9,0.13,False
15,Lions,Ravens,65.0,0,True
6,49ers,Cardinals,62,0.00,False
7,Chiefs,Texans,58,0.00,False
5,Rams,Jaguars,65.0,0,True
14,Eagles,Lions,30,0.40,False
2,Seahawks,49ers,65.0,0,True
10,Packers,Eagles,42,T,False
9,Rams,Titans,65.0,0,True
16,Packers,Steelers,23,0.37,False
8,Patriots,Dolphins,,,False
11,Steelers,Lions,57,0.67,False
12,Texans,Jaguars,65.0,0,True
17,Cowboys,Eagles,65.0,0,True
8,Eagles,Giants,52,0.00,False
3,Broncos,Raiders,54,0.85,False
4,Chiefs,Giants,62,0.01,False
15,Raiders,Chiefs,46,0.00,False
14,Bengals,Colts,26,0.04,False
5,Cardinals,Panthers,65.0,0,True
3,Vikings,Browns,65.0,0,True
4,Chargers,Cowboys,71,0.00,False
2,Patriots,Jets,,,False
12,Chiefs,Chargers,22,0.00,False
1,Panthers,Seahawks,,,False
1,Cowboys,Giants,65.0,0,True
14,Ravens,Vikings,29,0.56,False
16,Chargers,Raiders,58,0.00,False
6,Patriots,Saints,,,False
5,Titans,Chiefs,65,0.92,False
10,Steelers,Bills,45,0.00,False
6,Buccaneers,Eagles,76,0.00,False
14,Broncos,Titans,8,0.01,False
3,Titans,Chargers,64,0.00,False
14,Cardinals,Rams,65.0,0,True
7,Jaguars,Chargers,74,0.00,False
