Week,Home Team,Away Team,Mean Temperature,Precipitation Inches,Snowfall Inches,Mean Wind Speed MPH,Dome
1,Panthers,Seahawks,75,0,0,2,FALSE
1,Cowboys,Giants,65,0,0,2,TRUE
1,Bears,Bengals,75,0,0,12,FALSE
1,49ers,Packers,65,0,0,11,FALSE
1,Broncos,Ravens,78,0,0,6,FALSE
1,Steelers,Titans,71,0,0,5,FALSE
1,Saints,Falcons,65,0,0,7,TRUE
1,Rams,Cardinals,65,0,0,9,TRUE
1,Bills,Patriots,60,0,0,8,FALSE
1,Browns,Dolphins,69,0,0,11,FALSE
1,Jaguars,Chiefs,80,0,0,7,FALSE
1,Chargers,Texans,72,0,0,6,FALSE
1,Redskins,Eagles,72,0,0,4,FALSE
1,Colts,Raiders,65,0,0,3,TRUE
1,Jets,Buccaneers,73,0,0,7,FALSE
1,Lions,Vikings,65,0,0,6,TRUE
2,Raiders,Jaguars,67,0,0,11,FALSE
2,Falcons,Rams,65,0,0,8,TRUE
2,Texans,Titans,65,0,0,4,TRUE
2,Seahawks,49ers,65,0,0,7,TRUE
2,Patriots,Jets,78,0.47,0,6,FALSE
2,Eagles,Chargers,60,0,0,3,FALSE
2,Bengals,Steelers,63,0.03,0,5,FALSE
2,Giants,Broncos,60,0,0,2,FALSE
2,Packers,Redskins,55,0.38,0,6,FALSE
2,Cardinals,Lions,65,0,0,10,TRUE
2,Ravens,Browns,62,0,0,3,FALSE
2,Bears,Vikings,60,0.24,0,5,FALSE
2,Buccaneers,Saints,81,0.1,0,7,FALSE
2,Bills,Panthers,57,0.13,0,8,FALSE
2,Chiefs,Cowboys,74,0.09,0,9,FALSE
2,Colts,Dolphins,65,0,0,15,TRUE
3,Cowboys,Rams,65,0,0,11,TRUE
3,Saints,Cardinals,65,0,0,13,TRUE
3,Broncos,Raiders,54,0.85,0,12,FALSE
3,Vikings,Browns,65,0,0,6,TRUE
3,Titans,Chargers,64,0,0,6,FALSE
3,Dolphins,Falcons,84,0,0,6,FALSE
3,Patriots,Buccaneers,61,0.5,0,9,FALSE
3,Bengals,Packers,57,0,0,2,FALSE
3,Eagles,Chiefs,62,0.01,0,1,FALSE
3,Jets,Bills,64,0.55,0,8,FALSE
3,Seahawks,Jaguars,65,0,0,9,TRUE
3,49ers,Colts,63,0,0,10,FALSE
3,Panthers,Giants,69,0,0,8,FALSE
3,Steelers,Bears,56,0.01,0,6,FALSE
3,Redskins,Lions,64,0,0,4,FALSE
3,Ravens,Texans,63,0,0,6,FALSE
4,Titans,Jets,67,0.02,0,5,FALSE
4,Saints,Dolphins,65,0,0,10,TRUE
4,Chiefs,Giants,62,0.01,0,1,FALSE
4,Chargers,Cowboys,71,0,0,3,FALSE
4,Broncos,Eagles,58,0,0,5,FALSE
4,Lions,Bears,65,0,0,12,TRUE
4,Raiders,Redskins,67,0,0,7,FALSE
4,Rams,49ers,65,0,0,14,TRUE
4,Buccaneers,Cardinals,78,0,0,8,FALSE
4,Texans,Seahawks,65,0,0,2,TRUE
4,Jaguars,Colts,76,0,0,12,FALSE
4,Falcons,Patriots,65,0,0,13,TRUE
4,Vikings,Steelers,65,0,0,6,TRUE
4,Browns,Bengals,,0,0,9,FALSE
4,Bills,Ravens,63,0,0,6,FALSE
5,Dolphins,Ravens,82,0,0,4,FALSE
5,Falcons,Jets,65,0,0,6,TRUE
5,Rams,Jaguars,65,0,0,8,TRUE
5,Cardinals,Panthers,65,0,0,6,TRUE
5,Titans,Chiefs,65,0.92,0,7,FALSE
5,Bengals,Patriots,64,2.26,0,6,FALSE
5,Cowboys,Broncos,65,0,0,5,TRUE
5,Raiders,Chargers,66,0,0,5,FALSE
5,Giants,Eagles,69,0,0,6,FALSE
5,Packers,Lions,57,0.02,0,9,FALSE
5,Browns,Bills,,0,0,6,FALSE
5,Colts,Seahawks,65,0,0,6,TRUE
5,Bears,Saints,58,0.06,0,11,FALSE
5,49ers,Texans,70,0.01,0,5,FALSE
6,Browns,Lions,,0,0,8,FALSE
6,49ers,Cardinals,62,0,0,7,FALSE
6,Patriots,Saints,48,0,0,3,FALSE
6,Buccaneers,Eagles,76,0,0,3,FALSE
6,Bears,Giants,63,0,0,4,FALSE
6,Chargers,Colts,65,0,0,5,FALSE
6,Ravens,Packers,61,0.1,0,10,FALSE
6,Seahawks,Titans,65,0,0,6,TRUE
6,Chiefs,Raiders,58,0,0,3,FALSE
6,Cowboys,Redskins,65,0,0,4,TRUE
6,Vikings,Panthers,65,0,0,0,TRUE
6,Broncos,Jaguars,49,0,0,9,FALSE
6,Texans,Rams,65,0,0,7,TRUE
6,Bills,Bengals,63,0.32,0,7,FALSE
6,Jets,Steelers,62,0,0,8,FALSE
7,Steelers,Ravens,47,0,0,10,FALSE
7,Chiefs,Texans,58,0,0,8,FALSE
7,Jaguars,Chargers,74,0,0,10,FALSE
7,Packers,Browns,40,0.04,0,6,FALSE
7,Dolphins,Bills,84,0.15,0,2,FALSE
7,Colts,Broncos,65,0,0,9,TRUE
7,Eagles,Cowboys,54,0.01,0,9,FALSE
7,Titans,49ers,50,0,0,3,FALSE
7,Falcons,Buccaneers,65,0,0,16,TRUE
7,Jets,Patriots,57,0,0,8,FALSE
7,Cardinals,Seahawks,65,0,0,8,TRUE
7,Panthers,Rams,57,0,0,4,FALSE
7,Giants,Vikings,57,0,0,3,FALSE
7,Redskins,Bears,54,0,0,6,FALSE
7,Lions,Bengals,65,0,0,3,TRUE
8,Buccaneers,Panthers,66,0,0,9,FALSE
8,Patriots,Dolphins,47,0.03,0,5,FALSE
8,Eagles,Giants,52,0,0,9,FALSE
8,Vikings,Packers,65,0,0,2,TRUE
8,Raiders,Steelers,56,0.01,0,17,FALSE
8,Rams,Seahawks,65,0,0,5,TRUE
8,Saints,Bills,65,0,0,8,TRUE
8,Bengals,Jets,44,0,0,0,FALSE
8,Chiefs,Browns,49,0,0,2,FALSE
8,Cardinals,Falcons,65,0,0,6,TRUE
8,Jaguars,49ers,62,0,0,5,FALSE
8,Broncos,Redskins,52,0,0,6,FALSE
8,Lions,Cowboys,65,0,0,9,TRUE
9,Seahawks,Buccaneers,65,0,0,13,TRUE
9,Patriots,Steelers,42,0,0,6,FALSE
9,Dolphins,Bengals,81,0.01,0,10,FALSE
9,Rams,Titans,65,0,0,12,TRUE
